ticker,name,avg_sentiment,sentiment_category,investment_score,news_count,rank
NEE,"NextEra Energy, Inc.",0.4126322580645161,Bullish,99.77649482622267,31,1
LOW,"Lowe's Companies, Inc.",0.3152473684210526,Bullish,86.4937820069252,57,2
PGR,Progressive Corporation (The),0.3014487804878049,Bullish,84.68844641165971,41,3
V,Visa Inc.,0.2997246153846154,Neutral,84.46420379183432,65,4
LIN,Linde plc,0.29874193548387096,Neutral,84.33653074921956,31,5
COP,ConocoPhillips,0.2975697674418605,Neutral,84.18436506895618,43,6
JNJ,Johnson & Johnson,0.29606301369863014,Neutral,83.98896677387879,73,7
AMD,"Advanced Micro Devices, Inc.",0.2959697674418605,Neutral,83.97688190616549,86,8
WFC,Wells Fargo & Company,0.29391538461538463,Neutral,83.71085112721893,65,9
T,AT&T Inc.,0.2830348484848485,Neutral,82.30892112132689,66,10
ETN,"Eaton Corporation, PLC",0.27006857142857144,Neutral,80.6537088065306,35,11
KO,Coca-Cola Company (The),0.2688706666666667,Neutral,80.50163843635556,75,12
MDT,Medtronic plc.,0.26569661016949153,Neutral,80.0993954497271,59,13
AVGO,Broadcom Inc.,0.26468631578947366,Neutral,79.97157386725762,95,14
CSCO,"Cisco Systems, Inc.",0.2626763157894737,Neutral,79.71757392278393,76,15
ISRG,"Intuitive Surgical, Inc.",0.2607075757575758,Neutral,79.46917957862719,66,16
INTU,Intuit Inc.,0.24789361702127655,Neutral,77.86192397012223,47,17
AXP,American Express Company,0.24746666666666664,Neutral,77.80865422222223,66,18
ADP,"Automatic Data Processing, Inc.",0.24366451612903223,Neutral,77.335071433923,31,19
ABT,Abbott Laboratories,0.23832499999999998,Neutral,76.67244028124998,52,20
ABBV,AbbVie Inc.,0.23683970588235295,Neutral,76.48862290235728,68,21
AMZN,"Amazon.com, Inc.",0.23601717171717176,Neutral,76.38692243898582,99,22
PG,Procter & Gamble Company (The),0.23394745762711866,Neutral,76.13131640922148,59,23
MU,"Micron Technology, Inc.",0.23153529411764703,Neutral,75.83395903287196,68,24
BKNG,Booking Holdings Inc. Common St,0.23059672131147543,Neutral,75.71841452512766,61,25
VRTX,Vertex Pharmaceuticals Incorpor,0.2304716981132075,Neutral,75.70302999288003,53,26
GOOG,Alphabet Inc.,0.22265858585858583,Neutral,74.74470087868585,99,27
